DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
6/3/2010,511.16,VNINDEX,516.15,516.22,511.16,44546290
6/4/2010,510.37,VNINDEX,511.85,513,508.75,45070860
6/7/2010,496.89,VNINDEX,498.94,502.18,494.98,49305700
6/8/2010,497.19,VNINDEX,494.08,497.95,493.2,36309260
6/9/2010,497.56,VNINDEX,500.12,502.53,497.24,31820080
6/10/2010,500.51,VNINDEX,497,500.61,495.4,30797770
6/11/2010,504.29,VNINDEX,505.07,506.75,504.29,38247450
6/14/2010,508.32,VNINDEX,506.55,509.35,506.31,39350540
6/15/2010,508.01,VNINDEX,509.3,510.18,506.5,44664500
6/16/2010,510.72,VNINDEX,510.35,513.07,510.35,47970250
6/17/2010,510.76,VNINDEX,510.3,511.16,508.36,44615300
6/18/2010,511.18,VNINDEX,511.93,514.04,509.35,50875170
6/21/2010,514.75,VNINDEX,515.08,515.76,513.95,46371750
6/22/2010,512.63,VNINDEX,513.23,515.39,511.31,74762560
6/23/2010,512.82,VNINDEX,510.27,514.4,508.84,44290230
6/24/2010,511.67,VNINDEX,513.57,514.95,511.67,50351690
6/25/2010,505.12,VNINDEX,506.06,509.57,505.12,50325960
6/28/2010,507.28,VNINDEX,505.37,507.71,505.26,41239710
6/29/2010,510.71,VNINDEX,509.84,511.37,509.46,41531730
6/30/2010,507.14,VNINDEX,501.19,507.14,501.06,47489060
7/1/2010,504.02,VNINDEX,504.11,506.61,503.65,40518620
7/2/2010,503.65,VNINDEX,505.15,505.55,502.5,37498110
7/5/2010,506.54,VNINDEX,505.67,507.08,504.54,35628810
7/6/2010,500.82,VNINDEX,505.75,505.75,500.7,45812930
7/7/2010,496.91,VNINDEX,502.5,503.84,496.91,39397660
7/8/2010,498.55,VNINDEX,502.06,502.2,498.55,36297140
7/9/2010,499.46,VNINDEX,499.05,501.11,498.96,28816790
7/12/2010,499.93,VNINDEX,499.83,500.39,497.16,28099180
7/13/2010,509.08,VNINDEX,505.42,509.86,502.58,43469690
7/14/2010,507.34,VNINDEX,512.22,512.81,507.34,49448520
7/15/2010,505.19,VNINDEX,505.84,507.63,505.01,38760690
7/16/2010,506.21,VNINDEX,505.47,507.12,504.17,43141430
7/19/2010,506.84,VNINDEX,504.25,506.84,503.22,40064560
7/20/2010,506.56,VNINDEX,507.04,507.25,505.23,42732900
7/21/2010,505.4,VNINDEX,507.16,507.16,505.35,44177260
7/22/2010,500.28,VNINDEX,503.13,503.62,500.04,45653210
7/23/2010,500.31,VNINDEX,502.79,502.87,499.73,36636840
7/26/2010,498.1,VNINDEX,501.2,501.92,498.1,39870750
7/27/2010,497.67,VNINDEX,499.03,501.86,497.67,41159910
7/28/2010,491,VNINDEX,497.4,497.86,491,39672950
7/29/2010,491.11,VNINDEX,488.92,492.92,488.92,35014480
7/30/2010,493.91,VNINDEX,491.3,495.1,491.3,39404910
8/2/2010,491.61,VNINDEX,494.78,495.26,491.27,34171500
8/3/2010,491.9,VNINDEX,493.4,496.53,491.9,38497170
8/4/2010,486.71,VNINDEX,490.29,490.31,484.66,34948650
8/5/2010,486.21,VNINDEX,488.75,489.17,485.36,31779900
8/6/2010,482.82,VNINDEX,485.22,485.22,482.37,30979570
8/9/2010,472.74,VNINDEX,482.65,482.65,472.51,39775680
8/10/2010,461.67,VNINDEX,468.84,469.31,458.22,48425490
8/11/2010,463.12,VNINDEX,463.08,465.88,458.86,33729110
8/12/2010,448.4,VNINDEX,458.03,458.59,448.25,46662940
8/13/2010,452.73,VNINDEX,440.72,452.73,440.72,38901820
8/16/2010,464.76,VNINDEX,458.09,464.76,456.88,36748910
8/17/2010,463.52,VNINDEX,461.89,463.87,457.19,31913320
8/18/2010,455.49,VNINDEX,461.76,462.12,453.23,34430900
8/19/2010,452.23,VNINDEX,454.5,455.94,450.07,25495110
8/20/2010,454.84,VNINDEX,452.06,454.84,444.38,31433450
8/23/2010,447.92,VNINDEX,453.06,453.06,447.92,20755050
8/24/2010,434.42,VNINDEX,441.73,441.73,433.6,42125950
8/25/2010,423.89,VNINDEX,427.01,428.46,421.3,48535740
8/26/2010,427.07,VNINDEX,425.54,429.12,421.81,37873000
8/27/2010,429.14,VNINDEX,423.1,431.24,421.73,30574580
8/30/2010,444.55,VNINDEX,439.27,445.44,439.27,32394550
8/31/2010,455.08,VNINDEX,447.86,455.43,445.36,52012250
9/1/2010,458.75,VNINDEX,456.48,458.75,450.93,44585390
9/6/2010,466,VNINDEX,463.94,469.25,463.94,53323290
9/7/2010,460.59,VNINDEX,463.35,467.35,458.93,51314870
9/8/2010,458.44,VNINDEX,454.4,458.44,453.03,52382480
9/9/2010,463.68,VNINDEX,462.53,465.69,459.86,45688650
9/10/2010,451.39,VNINDEX,463.48,464.28,451.39,51772570
9/13/2010,447.27,VNINDEX,448.97,452.47,442.43,43764390
9/14/2010,449.01,VNINDEX,450.95,451.46,447.95,34392250
9/15/2010,448.72,VNINDEX,449.07,450.48,444.74,33752200
9/16/2010,449.52,VNINDEX,445.69,450.85,445.49,28225130
9/17/2010,457.58,VNINDEX,451.49,457.58,450.64,46398130
9/20/2010,457.87,VNINDEX,462.01,462.83,457.87,48445710
9/21/2010,453.32,VNINDEX,457.73,457.92,453.32,55518560
9/22/2010,453.9,VNINDEX,453.01,455.81,453.01,29260077
9/23/2010,450.77,VNINDEX,451.41,453.71,447.16,43857260
9/24/2010,449.71,VNINDEX,449.13,452.28,448.16,32025770
9/27/2010,450.2,VNINDEX,451.17,452.51,449.37,32776240
9/28/2010,455.13,VNINDEX,452.07,455.13,452.07,34805670
9/29/2010,452.94,VNINDEX,457.99,458,452.94,29316750
9/30/2010,454.52,VNINDEX,452.71,454.52,451.28,30027520
10/1/2010,451.71,VNINDEX,454.41,455.46,451.71,27901710
10/4/2010,445.83,VNINDEX,452.38,452.38,443.98,45475870
10/5/2010,450.96,VNINDEX,440.91,450.96,440.63,31545370
10/6/2010,460.72,VNINDEX,452.88,460.72,452.78,33650890
10/7/2010,462.05,VNINDEX,461.99,467.61,460.16,34258650
10/8/2010,459.26,VNINDEX,459.3,465.05,459.26,28255370
10/11/2010,459.32,VNINDEX,457.41,461.48,456.6,19670910
10/12/2010,454.32,VNINDEX,457.19,459.94,453.72,25937800
10/13/2010,457.7,VNINDEX,453.23,457.7,452.19,21737290
10/14/2010,458.66,VNINDEX,459.79,460.92,458.18,21056210
10/15/2010,458.39,VNINDEX,457.07,458.39,455.73,22505540
10/18/2010,457.59,VNINDEX,458.44,459.35,456,19793170
10/19/2010,454.25,VNINDEX,458.44,459.39,451.82,31324510
10/20/2010,442.17,VNINDEX,450.79,451.04,441.16,36917430
10/21/2010,445.05,VNINDEX,442.09,445.25,440.59,26478530
10/22/2010,445.21,VNINDEX,444.84,446.39,441.5,24204440
10/25/2010,448.61,VNINDEX,444.67,448.61,443.12,23427100
10/26/2010,455.12,VNINDEX,450.23,458.23,450.23,30139330
10/27/2010,450.01,VNINDEX,455.23,455.93,448.9,23349570
10/28/2010,450.07,VNINDEX,448.62,451.51,448.28,20181160
10/29/2010,452.63,VNINDEX,450.5,452.79,450.29,22494310
11/1/2010,451.06,VNINDEX,450.5,451.86,449.83,18022230
11/2/2010,446.3,VNINDEX,450.5,448.87,445.6,23189030
11/3/2010,444.16,VNINDEX,445.33,445.76,442.34,22703120
11/4/2010,448.95,VNINDEX,444.13,448.95,443.97,23454830
11/5/2010,457.27,VNINDEX,452.41,457.27,450.09,29986290
11/8/2010,457.13,VNINDEX,457.5,458.74,454.41,27232590
11/9/2010,449.4,VNINDEX,455.58,455.65,449.4,30659160
11/10/2010,451.26,VNINDEX,447.72,451.26,447.61,21038880
11/11/2010,446.69,VNINDEX,451.24,451.61,446.69,23536990
11/12/2010,441.6,VNINDEX,444.78,446.86,436.5,38981270
11/15/2010,433.54,VNINDEX,440.61,443.08,432.72,26382340
11/16/2010,426.89,VNINDEX,431.08,431.33,425.05,30931860
11/17/2010,425.5,VNINDEX,426.89,430.24,424.32,25125790
11/18/2010,430.72,VNINDEX,427.74,432.05,427.74,26333370
11/19/2010,426.51,VNINDEX,434.39,434.42,426.51,24842140
11/22/2010,426.19,VNINDEX,422.71,426.19,419.98,23451540
11/23/2010,430.81,VNINDEX,426.19,430.81,426.03,22541430
11/24/2010,434.48,VNINDEX,430.73,434.48,427.99,25109750
11/25/2010,439.85,VNINDEX,434.7,440.19,434.7,31896320
11/26/2010,439.94,VNINDEX,441.88,443.68,437.29,32805180
11/29/2010,446.36,VNINDEX,437.92,446.36,436.38,30743560
11/30/2010,451.59,VNINDEX,450.04,456.3,450.04,62322660
12/1/2010,449.93,VNINDEX,451.02,453.55,448.13,45498940
12/2/2010,457.42,VNINDEX,450.09,457.42,448.23,60631830
12/3/2010,464.35,VNINDEX,462.3,467.2,462.3,68016080
12/6/2010,465.56,VNINDEX,467.3,468.78,462.87,85111340
12/7/2010,460.76,VNINDEX,461.71,466.1,460.76,81943820
12/8/2010,452.83,VNINDEX,459.41,461.6,452.55,68289030
12/9/2010,460.45,VNINDEX,450.59,460.79,450.16,57617350
12/10/2010,473.06,VNINDEX,464.81,473.06,462.39,72125620
12/13/2010,490.22,VNINDEX,485.82,490.3,485.73,77661930
12/14/2010,489.65,VNINDEX,493.72,496.42,480.64,122569420
12/15/2010,493.47,VNINDEX,492.8,497.09,491.51,85904270
12/16/2010,480.21,VNINDEX,484.81,489.7,479.68,73174400
12/17/2010,485.29,VNINDEX,483,485.29,476.27,69205020
12/20/2010,478.29,VNINDEX,488.3,488.3,478.29,62070470
12/21/2010,481.78,VNINDEX,471.17,483.43,470.14,61254930
12/22/2010,481.53,VNINDEX,488.31,488.69,481.53,52498410
12/23/2010,475.41,VNINDEX,481.71,481.71,475.41,50104360
12/24/2010,472.76,VNINDEX,474.16,477.81,470.81,36460270
12/27/2010,473.05,VNINDEX,475.64,476.05,469.64,31432870
12/28/2010,479.33,VNINDEX,471.73,479.33,471.73,46930710
12/29/2010,478.75,VNINDEX,480.53,481.17,476.71,47091620
12/30/2010,481.4,VNINDEX,480.53,481.51,477.2,37423490
12/31/2010,484.66,VNINDEX,480.93,485.22,480.1,38915530
1/4/2011,485.97,VNINDEX,485.72,487.83,481.66,27702590
1/5/2011,481.91,VNINDEX,487.94,487.94,481.91,31937170
1/6/2011,482.31,VNINDEX,480.86,483.16,479.87,27623660
1/7/2011,481.86,VNINDEX,482.77,483.86,481.35,27898990
1/10/2011,480.55,VNINDEX,483.71,485.06,479.58,31913610
1/11/2011,477.44,VNINDEX,477.97,480.79,475.48,33672520
1/12/2011,478.45,VNINDEX,480.82,481.65,477.49,25963280
1/13/2011,484.12,VNINDEX,479.95,485.02,479.6,24707820
1/14/2011,489.22,VNINDEX,487.06,490.11,486.54,35655170
1/17/2011,495.16,VNINDEX,492.89,498.49,492.37,38761030
1/18/2011,497.43,VNINDEX,497.05,501.28,496,36081550
1/19/2011,505.91,VNINDEX,504.93,507.89,503.1,37752610
1/20/2011,511.98,VNINDEX,510.17,514.05,510.17,34788830
1/21/2011,519.5,VNINDEX,518.32,521.22,518.24,42553960
1/24/2011,509.88,VNINDEX,525.7,525.7,509.88,33580000
1/25/2011,501.97,VNINDEX,504.06,506.12,501.87,31591460
1/26/2011,501.25,VNINDEX,498.24,502.02,498.24,18693150
1/27/2011,502.68,VNINDEX,501.25,503.43,498.11,25261730
1/28/2011,510.6,VNINDEX,502.77,511.91,502.75,34784690
2/8/2011,520.69,VNINDEX,515.7,521.49,515.64,23807620
2/9/2011,522.59,VNINDEX,528.69,529.2,522.49,30722510
2/10/2011,520.23,VNINDEX,523.25,526.57,519.51,29888370
2/11/2011,519.98,VNINDEX,522.79,522.79,516.4,32345520
2/14/2011,514.05,VNINDEX,520.73,522.37,514.05,32986530
2/15/2011,517.87,VNINDEX,509.28,517.98,509.28,32068120
2/16/2011,513.11,VNINDEX,519.55,519.7,513.11,27859030
2/17/2011,509.83,VNINDEX,510.69,511.04,505.5,33492100
2/18/2011,503.92,VNINDEX,509.1,510.75,502.55,35958100
2/21/2011,483.68,VNINDEX,497.71,497.71,481.86,47516090
2/22/2011,470.02,VNINDEX,467.4,471.68,467.4,48651700
2/23/2011,470.67,VNINDEX,468.97,474.02,466.88,34351200
2/24/2011,461.29,VNINDEX,462.43,462.87,455.74,39985780
2/25/2011,466.96,VNINDEX,460.57,467.97,457.96,24623090
2/28/2011,461.37,VNINDEX,467.12,474.22,461.37,29478850
3/1/2011,466.12,VNINDEX,458.21,466.12,458.14,20498410
3/2/2011,457.83,VNINDEX,464.27,466.26,453.33,44009210
3/3/2011,452.34,VNINDEX,449.78,457.13,449.78,28284590
3/4/2011,459.23,VNINDEX,454.73,459.23,452.61,25978170
3/7/2011,468.22,VNINDEX,465.21,468.22,464.44,21215060
3/8/2011,475.38,VNINDEX,471.78,477.52,471.78,24083640
3/9/2011,470.51,VNINDEX,474.8,475.19,466.72,25573120
3/10/2011,482.49,VNINDEX,467.54,482.54,467.54,33266730
3/11/2011,495.06,VNINDEX,490.13,496.22,490.13,38503770
3/14/2011,479.9,VNINDEX,491.95,493.2,479.9,42018980
3/15/2011,468.74,VNINDEX,470.47,476.3,468.2,30728400
3/16/2011,463.58,VNINDEX,467.17,470.64,461.57,28554040
3/17/2011,460.53,VNINDEX,461.48,468.28,457.01,32161500
3/18/2011,461.08,VNINDEX,459.4,461.88,454.73,45518990
3/21/2011,468.25,VNINDEX,467.17,469.52,464.78,35968290
3/22/2011,464.8,VNINDEX,470.22,470.98,464.8,31891240
3/23/2011,467.64,VNINDEX,464,467.96,463.96,27018860
3/24/2011,461.32,VNINDEX,465.12,468.59,461.32,25184420
3/25/2011,457.74,VNINDEX,461.21,462.67,457.66,24991060
3/28/2011,459.52,VNINDEX,458.35,463.37,456.74,20391140
3/29/2011,457.88,VNINDEX,460.68,462.31,456.02,27935590
3/30/2011,460.04,VNINDEX,454.33,460.1,454.31,24372760
3/31/2011,461.13,VNINDEX,462.27,465.31,460.74,21014340
4/1/2011,459.17,VNINDEX,460.8,463.11,458.55,19989320
4/4/2011,457.25,VNINDEX,460.8,460.65,457.25,19221130
4/5/2011,457.2,VNINDEX,460.8,459.1,454.86,17405740
4/6/2011,464.94,VNINDEX,458.51,464.94,458.05,23335120
4/7/2011,463.49,VNINDEX,464.72,465.85,462,22006610
4/8/2011,464.29,VNINDEX,462.51,464.53,462.19,17885380
4/13/2011,461.01,VNINDEX,464.21,464.74,461.01,15659150
4/14/2011,460.63,VNINDEX,459.87,462.34,459.87,18691580
4/15/2011,460.96,VNINDEX,462.17,463.5,460.9,22262560
4/18/2011,455.46,VNINDEX,458.39,459.16,454.79,22418490
4/19/2011,453.74,VNINDEX,453.59,457.63,453.54,16524710
4/20/2011,458.5,VNINDEX,454.57,458.5,454.29,16546430
4/21/2011,460.3,VNINDEX,458.38,462.74,458.26,17006300
4/22/2011,456.45,VNINDEX,460.89,462.44,454.01,21266860
4/25/2011,465.62,VNINDEX,458.99,467.01,458.99,21079130
4/26/2011,461.86,VNINDEX,463.77,468.12,461.54,19647320
4/27/2011,469.32,VNINDEX,465.98,469.32,463.68,19567290
4/28/2011,472.93,VNINDEX,472.17,474.65,472.17,16856600
4/29/2011,480.08,VNINDEX,477.43,481.13,477.07,18604900
5/4/2011,486.58,VNINDEX,483.3,488.02,482.62,16159210
